card_ID,groupName,tradHanzi,simpleHanzi,pinyin,english
0,HSK Level 1,愛,爱,ài ,to love/affection/to be fond of/to like
1,HSK Level 1,八,八,bā ,eight/8
2,HSK Level 1,爸爸,爸爸,bà ba ,"(informal) father/CL:個|个[ge4],位[wei4]"
3,HSK Level 1,杯子,杯子,bēi zi ,"cup/glass/CL:個|个[ge4],支[zhi1],枝[zhi1]"
4,HSK Level 1,北京,北京,Běi jīng ,"Beijing, capital of People's Republic of China/Peking/PRC government"
5,HSK Level 1,本,本,běn ,"roots or stems of plants/origin/source/this/the current/root/foundation/basis/classifier for books, periodicals, files etc/originally"
6,HSK Level 1,不,不,bù ,(negative prefix)/not/no
7,HSK Level 1,不客氣,不客气,bù kè qi ,you're welcome/impolite/rude/blunt/don't mention it
8,HSK Level 1,菜,菜,cài ,"dish (type of food)/vegetables/vegetable/cuisine/CL:盤|盘[pan2],道[dao4]"
9,HSK Level 1,茶,茶,chá ,"tea/tea plant/CL:杯[bei1],壺|壶[hu2]"
10,HSK Level 1,吃,吃,chī ,to eat/to have one's meal/to eradicate/to destroy/to absorb/to suffer/to exhaust
11,HSK Level 1,出租車,出租车,chū zū chē ,taxi
12,HSK Level 1,打電話,打电话,dǎ diàn huà ,to make a telephone call
13,HSK Level 1,大,大,dà ,big/huge/large/major/great/wide/deep/oldest/eldest
14,HSK Level 1,的,的,de ,"of/structural particle: used before a noun, linking it to preceding possessive or descriptive attributive"
15,HSK Level 1,點,点,diǎn ,drop (of liquid)/stain/spot/speck/jot/dot stroke (in Chinese characters)/decimal point/point/mark (of degree or level)/a place (with certain characteristics)/iron bell/o’clock/a little/a bit/some/(point) unit of measurement for type/to touch on briefly/to make clear/to light/to ignite/to kindle/period of time at night (24 minutes) (old)/a drip/to dibble/classifier for small indeterminate quantities
16,HSK Level 1,電腦,电脑,diàn nǎo ,computer/CL:臺|台[tai2]
17,HSK Level 1,電視,电视,diàn shì ,"television/TV/CL:臺|台[tai2],個|个[ge4]"
18,HSK Level 1,電影,电影,diàn yǐng ,"movie/film/CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]"
19,HSK Level 1,東西,东西,dōng xi ,"thing/stuff/person/CL:個|个[ge4],件[jian4]"
20,HSK Level 1,都,都,dōu ,"all, both/entirely (due to) each/even/already"
21,HSK Level 1,讀,读,dú ,"to read/to study/reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]"
22,HSK Level 1,對不起,对不起,duì bu qǐ ,unworthy/to let down/I'm sorry/excuse me/pardon me/if you please/sorry? (please repeat)
23,HSK Level 1,多,多,duō ,many/much/a lot of/numerous/multi-
24,HSK Level 1,多少,多少,duō shǎo ,number/amount/somewhat
25,HSK Level 1,兒子,儿子,ér zi ,son
26,HSK Level 1,二,二,èr ,two/2/stupid (Beijing dialect)
27,HSK Level 1,飯館,饭馆,fàn guǎn ,restaurant/CL:家[jia1]
28,HSK Level 1,飛機,飞机,fēi jī ,airplane/CL: 架[jia4]
29,HSK Level 1,分鐘,分钟,fēn zhōng ,minute
30,HSK Level 1,高興,高兴,gāo xìng ,happy/glad/willing (to do sth)/in a cheerful mood
31,HSK Level 1,,个,gè ,individual/this/that/size/classifier for people or objects in general
32,HSK Level 1,工作,工作,gōng zuò ,"job/work/construction/task/CL:個|个[ge4],份[fen4],項|项[xiang4]"
33,HSK Level 1,狗,狗,gǒu ,"dog/CL:隻|只[zhi1],條|条[tiao2]"
34,HSK Level 1,漢語,汉语,Hàn yǔ ,Chinese language/CL:門|门[men2]
35,HSK Level 1,好,好,hǎo ,good/well/proper/good to/easy to/very/so/(suffix indicating completion or readiness)
36,HSK Level 1,喝,喝,hē ,to drink/to shout (a command)/My goodness!
37,HSK Level 1,和,和,hé ,and/together with/with/sum/union/peace/harmony/surname He/Japanese related/Taiwan pr.  han4
38,HSK Level 1,很,很,hěn ,(adverb of degree)/quite/very/awfully
39,HSK Level 1,,回,huí ,to circle/to go back/to turn around/to answer/to return/to revolve/Hui ethnic group (Chinese Muslims)/time/classifier for acts of a play/section or chapter (of a classic book)
40,HSK Level 1,會,会,huì ,can/be possible/be able to/will/be likely to/be sure to/to assemble/to meet/to gather/to see/union/group/association/CL:個|个[ge4]/a moment (Taiwan pr. for this sense is hui3)
41,HSK Level 1,火車站,火车站,huǒ chē zhàn ,train station
42,HSK Level 1,家,家,jiā ,"home/family/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian/surname Jia/CL:個|个[ge4]"
43,HSK Level 1,叫,叫,jiào ,to shout/to call/to order/to ask/to be called/by (indicates agent in the passive mood)
44,HSK Level 1,今天,今天,jīn tiān ,today/at the present/now
45,HSK Level 1,九,九,jiǔ ,nine/9
46,HSK Level 1,開,开,kāi ,to open/to start/to turn on/to boil/to write out (a medical prescription)/to operate (vehicle)/abbr. for 開爾文|开尔文 degrees Kelvin
47,HSK Level 1,看見,看见,kàn jiàn ,to see/to catch sight of
48,HSK Level 1,塊,块,kuài ,"lump (of earth)/chunk/piece/classifier for pieces of cloth, cake, soap etc/colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱"
49,HSK Level 1,來,来,lái ,to come/to arrive/to come round/ever since/next
50,HSK Level 1,老師,老师,lǎo shī ,"teacher/CL:個|个[ge4],位[wei4]"
51,HSK Level 1,,了,le ,(modal particle intensifying preceding clause)/(completed action marker)
52,HSK Level 1,冷,冷,lěng ,cold
53,HSK Level 1,,里,lǐ ,lining/interior/inside/internal/also written 裡|里 [li3]
54,HSK Level 1,零,零,líng ,zero/nought/zero sign/fractional/fragmentary/odd (of numbers)/(placed between two numbers to indicate a smaller quantity followed by a larger one)/fraction/(in mathematics) remainder (after division)/extra/to wither and fall/to wither
55,HSK Level 1,六,六,liù ,six/6
56,HSK Level 1,媽媽,妈妈,mā ma ,"mama/mommy/mother/CL:個|个[ge4],位[wei4]"
57,HSK Level 1,嗎,吗,ma ,(question tag)
58,HSK Level 1,買,买,mǎi ,to buy/to purchase
59,HSK Level 1,貓,猫,māo ,cat/CL:隻|只[zhi1]
60,HSK Level 1,沒,没,méi ,(negative prefix for verbs)/have not/not
61,HSK Level 1,沒關係,没关系,méi guān xi ,it doesn't matter
62,HSK Level 1,米飯,米饭,mǐ fàn ,(cooked) rice
63,HSK Level 1,明天,明天,míng tiān ,tomorrow
64,HSK Level 1,名字,名字,míng zi ,name (of a person or thing)/CL:個|个[ge4]
65,HSK Level 1,哪,哪,nǎ ,how/which
66,HSK Level 1,哪兒,哪儿,nǎ r ,where?/wherever/anywhere
67,HSK Level 1,那,那,nà ,"that/those/then (in that case)/commonly pr. nei4 before a classifier, esp. in Beijing"
68,HSK Level 1,那兒,那儿,nà r ,there
69,HSK Level 1,呢,呢,ne ,(question particle for subjects already mentioned)
70,HSK Level 1,能,能,néng ,to be able to/to be capable of/ability/capability/able/capable/can possibly/(usually used in the negative) to have the possibility of
71,HSK Level 1,你,你,nǐ ,"you (informal, as opposed to polite 您[nin2])"
72,HSK Level 1,年,年,nián ,year/CL:個|个[ge4]
73,HSK Level 1,女兒,女儿,nǚ ér ,daughter
74,HSK Level 1,朋友,朋友,péng you ,"friend/CL:個|个[ge4],位[wei4]"
75,HSK Level 1,漂亮,漂亮,piào liang ,pretty/beautiful
76,HSK Level 1,蘋果,苹果,píng guǒ ,"apple/CL:個|个[ge4],顆|颗[ke1]"
77,HSK Level 1,七,七,qī ,seven/7
78,HSK Level 1,錢,钱,qián ,coin/money/CL:筆|笔[bi3]
79,HSK Level 1,前面,前面,qián miàn ,ahead/in front/preceding/above
80,HSK Level 1,請,请,qǐng ,to ask/to invite/please (do sth)/to treat (to a meal etc)/to request
81,HSK Level 1,去,去,qù ,to go/to go to (a place)/to cause to go or send (sb)/to remove/to get rid of/(when used either before or after a verb) to go in order to do sth/to be apart from in space or time/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation)/(of a time or an event etc) just passed or elapsed
82,HSK Level 1,熱,热,rè ,heat/to heat up/fervent/hot (of weather)/warm up
83,HSK Level 1,人,人,rén ,"man/person/people/CL:個|个[ge4],位[wei4]"
84,HSK Level 1,認識,认识,rèn shi ,to know/to recognize/to be familiar with/acquainted with sth/knowledge/understanding/awareness/cognition
85,HSK Level 1,日,日,rì ,"sun/day/date, day of the month/abbr. for 日本|日本 Japan"
86,HSK Level 1,三,三,sān ,three/3
87,HSK Level 1,商店,商店,shāng diàn ,"store/shop/CL:家[jia1],個|个[ge4]"
88,HSK Level 1,上午,上午,shàng wǔ ,morning/CL:個|个[ge4]
89,HSK Level 1,少,少,shǎo ,few/little/lack
90,HSK Level 1,誰,谁,shéi ,who/also pronounced shui2
91,HSK Level 1,什麼,什么,shén me ,what?/who?/something/anything
92,HSK Level 1,十,十,shí ,ten/10
93,HSK Level 1,時候,时候,shí hou ,time/length of time/moment/period
94,HSK Level 1,是,是,shì ,is/are/am/yes/to be
95,HSK Level 1,書,书,shū ,"book/letter/CL:本[ben3],冊|册[ce4],部[bu4]/see also 書經|书经 Book of History"
96,HSK Level 1,水,水,shuǐ ,water/river/liquid/beverage/additional charges or income/(of clothes) classifier for number of washes
97,HSK Level 1,睡覺,睡觉,shuì jiào ,to go to bed/to go to sleep
98,HSK Level 1,說話,说话,shuō huà ,to speak/to say/to talk/to gossip/to tell stories/talk/word
99,HSK Level 1,四,四,sì ,four/4
100,HSK Level 1,歲,岁,suì ,classifier for years (of age)/year/year (of crop harvests)
101,HSK Level 1,他,他,tā ,he or him/(used for either sex when the sex is unknown or unimportant)/(used before sb's name for emphasis)/(used as a meaningless mock object)/other/another
102,HSK Level 1,她,她,tā ,she
103,HSK Level 1,太,太,tài ,highest/greatest/too (much)/very/extremely
104,HSK Level 1,天氣,天气,tiān qì ,weather
105,HSK Level 1,聽,听,tīng ,to listen/to hear/to obey/a can (loanword from English 'tin')/classifier for canned beverages
106,HSK Level 1,同學,同学,tóng xué ,"(fellow) classmate/CL:位[wei4],個|个[ge4]"
107,HSK Level 1,,喂,wèi ,"hello (interj., esp. on telephone)/hey/to feed (sb or some animal)"
108,HSK Level 1,我,我,wǒ ,I/me/my
109,HSK Level 1,我們,我们,wǒ men ,we/us/ourselves/our
110,HSK Level 1,五,五,wǔ ,five/5
111,HSK Level 1,喜歡,喜欢,xǐ huan ,to like/to be fond of
112,HSK Level 1,下,下,xià ,down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down
113,HSK Level 1,下午,下午,xià wǔ ,afternoon/p.m./CL:個|个[ge4]
114,HSK Level 1,下雨,下雨,xià yǔ ,to rain/rainy
115,HSK Level 1,先生,先生,xiān sheng ,"teacher/Mister (Mr.)/husband/doctor (topolect)/CL:個|个[ge4],位[wei4]"
116,HSK Level 1,現在,现在,xiàn zài ,now/at present/at the moment/modern/current/nowadays
117,HSK Level 1,想,想,xiǎng ,to think/to believe/to suppose/to wish/to want/to miss
118,HSK Level 1,小,小,xiǎo ,small/tiny/few/young
119,HSK Level 1,小姐,小姐,xiǎo jie ,"young lady/miss/CL:個|个[ge4],位[wei4]"
120,HSK Level 1,些,些,xiē ,some/few/several/(a measure word)
121,HSK Level 1,寫,写,xiě ,to write
122,HSK Level 1,謝謝,谢谢,xiè xie ,to thank/thanks
123,HSK Level 1,星期,星期,xīng qī ,week/CL:個|个[ge4]
124,HSK Level 1,學生,学生,xué sheng ,student/school child
125,HSK Level 1,學習,学习,xué xí ,to learn/to study
126,HSK Level 1,學校,学校,xué xiào ,school/CL:所[suo3]
127,HSK Level 1,一,一,yī ,one/1/single/a (article)/as soon as/entire/whole/all/throughout/'one' radical in Chinese characters (Kangxi radical 1)
128,HSK Level 1,衣服,衣服,yī fu ,"clothes/CL:件[jian4],套[tao4]"
129,HSK Level 1,醫生,医生,yī shēng ,"doctor/CL:個|个[ge4],位[wei4],名[ming2]"
130,HSK Level 1,醫院,医院,yī yuàn ,"hospital/CL:所[suo3],家[jia1],座[zuo4]"
131,HSK Level 1,椅子,椅子,yǐ zi ,"chair/CL:把[ba3],套[tao4]"
132,HSK Level 1,有,有,yǒu ,to have/there is/there are/to exist/to be
133,HSK Level 1,月,月,yuè ,"moon/month/CL:個|个[ge4],輪|轮[lun2]"
134,HSK Level 1,在,在,zài ,(located) at/(to be) in/to exist/in the middle of doing sth/(indicating an action in progress)
135,HSK Level 1,再見,再见,zài jiàn ,goodbye/see you again later
136,HSK Level 1,,怎么,zěn me ,how?/what?/why?
137,HSK Level 1,怎麼樣,怎么样,zěn me yàng ,how?/how about?/how was it?/how are things?
138,HSK Level 1,這,这,zhè ,"this/these/(commonly pr. zhei4 before a classifier, esp. in Beijing)"
139,HSK Level 1,這兒,这儿,zhè r ,here
140,HSK Level 1,中國,中国,Zhōng guó ,China/Middle Kingdom
141,HSK Level 1,中午,中午,zhōng wǔ ,noon/midday/CL:個|个[ge4]
142,HSK Level 1,住,住,zhù ,to live/to dwell/to stay/to reside/to stop
143,HSK Level 1,桌子,桌子,zhuō zi ,"table/desk/CL:張|张[zhang1],套[tao4]"
144,HSK Level 1,字,字,zì ,letter/symbol/character/word/CL:個|个[ge4]/courtesy or style name traditionally given to males aged 20 in dynastic China
145,HSK Level 1,昨天,昨天,zuó tiān ,yesterday
146,HSK Level 1,做,做,zuò ,to do/to make/to produce/to write/to compose/to act as/to engage in/to hold (a party)/to be/to become/to function (in some capacity)/to serve as/to be used for/to form (a bond or relationship)/to pretend/to feign/to act a part/to put on appearance
147,HSK Level 1,坐,坐,zuò ,"to sit/to take a seat/to take (a bus, airplane etc)/to bear fruit/surname Zuo"